iter	Passed	Remaining
0	143	143171
1	147	73476
2	151	50316
3	155	38657
4	158	31591
5	162	26978
6	167	23701
7	171	21228
8	174	19251
9	178	17698
10	183	16518
11	187	15418
12	191	14512
13	194	13716
14	198	13058
15	202	12452
16	206	11927
17	210	11457
18	213	11027
19	217	10642
20	220	10288
21	224	9968
22	228	9688
23	231	9423
24	235	9203
25	240	8998
26	243	8782
27	247	8594
28	250	8404
29	255	8253
30	258	8091
31	262	7945
32	266	7796
33	269	7664
34	273	7543
35	277	7420
36	280	7307
37	284	7202
38	286	7069
39	289	6942
40	291	6819
41	293	6695
42	295	6571
43	297	6454
44	299	6347
45	300	6239
46	302	6128
47	303	6023
48	305	5922
49	306	5825
50	308	5734
51	309	5642
52	310	5551
53	312	5466
54	313	5386
55	314	5309
56	316	5233
57	317	5157
58	318	5081
59	319	5006
60	320	4933
61	321	4864
62	322	4796
63	323	4731
64	324	4667
65	325	4606
66	326	4544
67	326	4479
68	327	4422
69	328	4369
70	329	4314
71	330	4260
72	331	4208
73	332	4158
74	333	4109
75	333	4060
76	334	4012
77	335	3966
78	336	3921
79	337	3877
80	337	3834
81	338	3792
82	339	3752
83	340	3712
84	340	3670
85	341	3631
86	342	3591
87	342	3553
88	343	3517
89	344	3482
90	345	3447
91	345	3412
92	346	3379
93	347	3346
94	347	3314
95	348	3283
96	349	3252
97	350	3222
98	350	3192
99	351	3163
100	352	3134
101	352	3104
102	353	3076
103	354	3050
104	354	3023
105	355	2997
106	356	2971
107	356	2947
108	357	2923
109	358	2899
110	359	2875
111	359	2852
112	360	2829
113	361	2806
114	361	2784
115	362	2762
116	363	2741
117	363	2720
118	364	2698
119	365	2678
120	365	2658
121	366	2638
122	367	2617
123	367	2597
124	368	2578
125	369	2560
126	369	2542
127	370	2522
128	371	2505
129	371	2488
130	372	2471
131	373	2454
132	374	2438
133	374	2422
134	375	2406
135	376	2390
136	376	2374
137	377	2358
138	378	2342
139	378	2327
140	379	2313
141	380	2298
142	381	2283
143	381	2269
144	382	2255
145	383	2241
146	383	2228
147	384	2214
148	385	2201
149	386	2188
150	386	2175
151	387	2162
152	388	2150
153	389	2137
154	389	2125
155	390	2112
156	391	2100
157	391	2088
158	392	2076
159	393	2065
160	394	2053
161	394	2041
162	395	2030
163	396	2019
164	396	2008
165	397	1997
166	398	1986
167	399	1976
168	399	1965
169	400	1954
170	401	1944
171	401	1933
172	402	1923
173	403	1913
174	403	1904
175	404	1894
176	405	1884
177	405	1874
178	406	1865
179	407	1855
180	407	1844
181	408	1835
182	409	1826
183	409	1817
184	410	1808
185	411	1799
186	412	1791
187	412	1782
188	413	1774
189	414	1765
190	414	1757
191	415	1748
192	416	1740
193	417	1732
194	417	1724
195	418	1716
196	419	1708
197	419	1700
198	420	1693
199	421	1685
200	422	1677
201	422	1669
202	423	1662
203	424	1654
204	424	1647
205	425	1639
206	426	1632
207	426	1625
208	427	1618
209	428	1611
210	429	1604
211	429	1597
212	430	1590
213	431	1583
214	431	1576
215	432	1570
216	433	1563
217	434	1556
218	434	1550
219	435	1543
220	436	1537
221	436	1530
222	437	1524
223	438	1518
224	438	1511
225	439	1506
226	440	1501
227	441	1495
228	442	1489
229	443	1484
230	444	1478
231	444	1472
232	445	1466
233	446	1460
234	446	1454
235	447	1449
236	448	1443
237	449	1437
238	449	1432
239	450	1426
240	451	1420
241	451	1415
242	452	1409
243	453	1404
244	453	1398
245	454	1393
246	455	1388
247	456	1382
248	456	1377
249	457	1372
250	458	1366
251	458	1361
252	459	1356
253	460	1351
254	460	1346
255	461	1341
256	462	1336
257	463	1331
258	463	1327
259	464	1322
260	465	1317
261	465	1312
262	466	1307
263	467	1302
264	467	1297
265	468	1293
266	469	1288
267	470	1283
268	470	1279
269	471	1274
270	472	1270
271	472	1265
272	473	1260
273	474	1256
274	474	1251
275	475	1247
276	476	1243
277	476	1238
278	477	1234
279	478	1230
280	479	1226
281	479	1221
282	480	1217
283	481	1213
284	481	1209
285	482	1204
286	483	1200
287	484	1196
288	484	1192
289	485	1188
290	486	1184
291	486	1180
292	487	1176
293	488	1172
294	489	1168
295	489	1164
296	490	1160
297	491	1157
298	491	1153
299	492	1149
300	493	1145
301	494	1141
302	494	1138
303	495	1134
304	496	1130
305	496	1126
306	497	1123
307	498	1119
308	498	1115
309	499	1111
310	500	1108
311	500	1104
312	501	1101
313	502	1097
314	502	1093
315	503	1090
316	504	1086
317	505	1083
318	505	1079
319	506	1076
320	507	1072
321	507	1069
322	508	1065
323	509	1062
324	509	1059
325	510	1055
326	511	1052
327	512	1049
328	512	1045
329	513	1042
330	514	1039
331	514	1035
332	515	1032
333	516	1029
334	516	1026
335	517	1022
336	518	1019
337	519	1016
338	519	1013
339	520	1010
340	521	1007
341	521	1004
342	522	1001
343	523	998
344	524	994
345	524	991
346	525	988
347	526	985
348	526	982
349	527	979
350	528	976
351	529	973
352	529	970
353	530	967
354	531	964
355	531	961
356	532	958
357	533	956
358	533	953
359	534	950
360	535	947
361	536	945
362	536	942
363	537	939
364	538	936
365	539	933
366	539	931
367	540	928
368	541	925
369	542	923
370	542	920
371	543	917
372	544	915
373	545	912
374	545	909
375	546	906
376	547	904
377	547	901
378	548	899
379	549	896
380	550	893
381	550	891
382	551	888
383	552	885
384	552	883
385	553	880
386	554	878
387	555	875
388	555	872
389	556	870
390	557	867
391	557	865
392	558	862
393	559	860
394	560	857
395	560	855
396	561	852
397	562	850
398	562	847
399	563	845
400	564	842
401	564	840
402	565	837
403	566	835
404	567	833
405	567	830
406	568	828
407	569	825
408	570	823
409	570	821
410	571	818
411	572	816
412	572	814
413	573	811
414	574	809
415	574	806
416	575	804
417	576	802
418	576	800
419	577	797
420	578	795
421	579	793
422	579	790
423	580	788
424	581	786
425	582	784
426	582	782
427	583	779
428	584	777
429	584	775
430	585	773
431	586	770
432	587	768
433	587	766
434	588	764
435	589	762
436	589	760
437	590	757
438	591	755
439	592	753
440	592	751
441	593	749
442	594	747
443	594	745
444	595	742
445	596	740
446	597	738
447	597	736
448	598	734
449	599	732
450	600	730
451	600	728
452	601	726
453	602	724
454	602	722
455	603	720
456	604	718
457	604	715
458	605	713
459	606	711
460	607	709
461	607	707
462	608	705
463	609	703
464	610	701
465	610	699
466	611	697
467	612	695
468	612	693
469	613	691
470	614	689
471	615	687
472	615	685
473	616	683
474	617	681
475	617	679
476	618	678
477	619	676
478	619	674
479	620	672
480	621	670
481	621	668
482	622	666
483	623	664
484	623	662
485	624	660
486	625	658
487	625	656
488	626	654
489	627	653
490	628	651
491	628	649
492	629	647
493	630	645
494	630	643
495	631	641
496	632	640
497	633	638
498	633	636
499	634	634
500	635	632
501	635	630
502	636	628
503	637	627
504	638	625
505	638	623
506	639	621
507	640	620
508	640	618
509	641	616
510	642	614
511	643	613
512	644	611
513	644	609
514	645	607
515	646	606
516	646	604
517	647	602
518	648	600
519	649	599
520	649	597
521	650	595
522	651	593
523	651	592
524	652	590
525	653	588
526	654	587
527	654	585
528	655	583
529	656	581
530	656	580
531	657	578
532	658	577
533	659	575
534	660	573
535	660	572
536	661	570
537	662	568
538	663	567
539	663	565
540	664	563
541	665	562
542	665	560
543	666	558
544	667	557
545	668	555
546	668	553
547	669	552
548	670	550
549	671	549
550	671	547
551	672	545
552	673	544
553	673	542
554	674	540
555	675	539
556	676	537
557	677	536
558	678	534
559	678	533
560	679	531
561	680	530
562	681	528
563	681	527
564	682	525
565	683	523
566	684	522
567	684	520
568	685	519
569	686	517
570	687	516
571	687	514
572	688	513
573	689	511
574	690	510
575	690	508
576	691	507
577	692	505
578	693	504
579	694	502
580	694	501
581	695	499
582	696	498
583	697	496
584	698	495
585	698	493
586	699	492
587	700	490
588	701	489
589	701	487
590	702	486
591	703	484
592	704	483
593	705	481
594	705	480
595	706	479
596	707	477
597	708	476
598	708	474
599	709	473
600	710	471
601	711	470
602	711	468
603	712	467
604	713	465
605	713	464
606	714	462
607	715	461
608	716	459
609	717	458
610	717	456
611	718	455
612	719	453
613	719	452
614	720	451
615	721	449
616	721	448
617	722	446
618	723	445
619	724	443
620	724	442
621	725	440
622	726	439
623	726	438
624	727	436
625	728	435
626	728	433
627	729	432
628	730	430
629	731	429
630	731	428
631	732	426
632	733	425
633	734	423
634	734	422
635	735	420
636	736	419
637	736	418
638	737	416
639	738	415
640	739	413
641	739	412
642	740	411
643	741	409
644	742	408
645	742	407
646	743	405
647	744	404
648	744	402
649	745	401
650	746	400
651	747	398
652	747	397
653	748	396
654	749	394
655	750	393
656	750	392
657	751	390
658	752	389
659	753	387
660	753	386
661	754	385
662	755	383
663	755	382
664	756	381
665	757	379
666	758	378
667	758	377
668	759	375
669	760	374
670	761	373
671	761	371
672	762	370
673	763	369
674	764	367
675	764	366
676	765	365
677	766	363
678	766	362
679	767	361
680	768	359
681	769	358
682	769	357
683	770	355
684	771	354
685	771	353
686	772	352
687	773	350
688	774	349
689	774	348
690	775	346
691	776	345
692	777	344
693	777	343
694	778	341
695	779	340
696	780	339
697	780	337
698	781	336
699	782	335
700	783	334
701	783	332
702	784	331
703	785	330
704	786	328
705	786	327
706	787	326
707	788	325
708	791	324
709	791	323
710	792	322
711	793	320
712	794	319
713	794	318
714	795	317
715	796	315
716	797	314
717	797	313
718	798	312
719	799	310
720	799	309
721	800	308
722	801	307
723	802	305
724	802	304
725	803	303
726	804	302
727	805	300
728	805	299
729	806	298
730	807	297
731	808	295
732	809	294
733	809	293
734	810	292
735	811	290
736	811	289
737	812	288
738	813	287
739	814	286
740	814	284
741	815	283
742	816	282
743	817	281
744	818	280
745	818	278
746	819	277
747	820	276
748	820	275
749	821	273
750	822	272
751	823	271
752	823	270
753	824	269
754	825	267
755	826	266
756	826	265
757	827	264
758	828	263
759	829	261
760	829	260
761	830	259
762	831	258
763	832	257
764	832	255
765	833	254
766	834	253
767	834	252
768	835	251
769	836	249
770	837	248
771	838	247
772	838	246
773	839	245
774	840	243
775	840	242
776	841	241
777	842	240
778	843	239
779	843	237
780	844	236
781	845	235
782	845	234
783	846	233
784	847	232
785	847	230
786	848	229
787	849	228
788	850	227
789	850	226
790	851	224
791	852	223
792	852	222
793	853	221
794	854	220
795	855	219
796	855	217
797	856	216
798	857	215
799	857	214
800	858	213
801	859	212
802	859	210
803	860	209
804	861	208
805	862	207
806	862	206
807	863	205
808	864	204
809	864	202
810	865	201
811	866	200
812	867	199
813	868	198
814	869	197
815	870	196
816	870	195
817	871	193
818	872	192
819	873	191
820	873	190
821	874	189
822	875	188
823	876	187
824	876	186
825	877	184
826	878	183
827	879	182
828	879	181
829	880	180
830	881	179
831	881	178
832	882	176
833	883	175
834	884	174
835	884	173
836	885	172
837	886	171
838	887	170
839	887	169
840	888	167
841	889	166
842	889	165
843	890	164
844	891	163
845	892	162
846	892	161
847	893	160
848	894	159
849	894	157
850	895	156
851	896	155
852	896	154
853	897	153
854	898	152
855	899	151
856	899	150
857	900	149
858	901	147
859	901	146
860	902	145
861	903	144
862	903	143
863	904	142
864	905	141
865	906	140
866	906	139
867	907	138
868	908	136
869	908	135
870	909	134
871	910	133
872	911	132
873	911	131
874	912	130
875	913	129
876	913	128
877	914	127
878	915	125
879	915	124
